date,FR_new_cases,IT_new_cases,US_new_cases
2020-03-01,1,4,0
2020-03-02,0,9,0
2020-03-03,1,6,0
2020-03-04,1,8,0
2020-03-05,1,10,0
2020-03-06,2,13,0
2020-03-07,3,13,0
2020-03-08,2,21,0
2020-03-09,6,25,0
2020-03-10,4,30,1
2020-03-11,6,16,1
2020-03-12,8,38,1
2020-03-13,9,44,1
2020-03-14,12,42,2
2020-03-15,13,58,2
2020-03-16,14,47,2
2020-03-17,19,66,3
2020-03-18,17,58,5
2020-03-19,22,70,9
2020-03-20,29,88,15
2020-03-21,25,99,16
2020-03-22,28,108,22
2020-03-23,24,92,26
2020-03-24,59,79,34
2020-03-25,37,87,27
2020-03-26,45,86,42
2020-03-27,60,102,51
2020-03-28,58,99,56
2020-03-29,71,99,60
2020-03-30,40,86,55
2020-03-31,67,67,65
2020-04-01,116,67,76
2020-04-02,74,79,82
2020-04-03,32,77,87
2020-04-04,80,76,98
2020-04-05,65,79,104
2020-04-06,29,71,77
2020-04-07,60,60,92
2020-04-08,58,50,92
2020-04-09,59,63,101
2020-04-10,66,70,102
2020-04-11,67,65,107
2020-04-12,48,78,86
2020-04-13,25,68,83
2020-04-14,41,52,76
2020-04-15,84,49,81
2020-04-16,40,44,91
2020-04-17,40,63,96
2020-04-18,6,58,93
2020-04-19,39,58,99
2020-04-20,12,50,74
2020-04-21,31,37,85
2020-04-22,41,45,113
2020-04-23,28,56,53
2020-04-24,25,44,80
2020-04-25,27,50,65
2020-04-26,24,39,147
2020-04-27,7,38,81
2020-04-28,18,29,68
2020-04-29,16,35,73
2020-04-30,25,35,83
2020-05-01,17,31,90
2020-05-02,9,33,103
2020-05-03,12,31,88
2020-05-04,5,23,75
2020-05-05,9,20,68
2020-05-06,17,18,72
2020-05-07,64,24,73
2020-05-08,10,23,86
2020-05-09,10,22,81
2020-05-10,7,18,77
2020-05-11,3,13,61
2020-05-12,7,12,55
2020-05-13,11,23,67
2020-05-14,8,15,63
2020-05-15,10,16,82
2020-05-16,9,13,77
2020-05-17,6,14,74
2020-05-18,2,11,57
2020-05-19,8,7,66
2020-05-20,8,13,60
2020-05-21,6,11,70
2020-05-22,5,11,77
2020-05-23,6,11,73
2020-05-24,4,11,64
2020-05-25,2,9,62
2020-05-26,5,5,58
2020-05-27,4,7,57
2020-05-28,3,10,57
2020-05-29,51,10,66
2020-05-30,9,9,77
2020-05-31,28,7,70
2020-06-01,4,6,60
2020-06-02,5,3,64
2020-06-03,-12,5,62
2020-06-04,5,5,60
2020-06-05,12,3,64
2020-06-06,9,9,76
2020-06-07,9,4,67
2020-06-08,5,3,67
2020-06-09,3,5,57
2020-06-10,6,5,56
2020-06-11,8,3,62
2020-06-12,7,6,69
2020-06-13,11,3,77
2020-06-14,8,6,77
2020-06-15,6,6,59
2020-06-16,2,5,60
2020-06-17,5,3,72
2020-06-18,7,5,77
2020-06-19,7,5,84
2020-06-20,12,-2,90
2020-06-21,10,4,103
2020-06-22,4,4,78
2020-06-23,6,4,95
2020-06-24,8,2,105
2020-06-25,1,10,104
2020-06-26,0,5,124
2020-06-27,24,4,138
2020-06-28,0,3,128
2020-06-29,0,3,117
2020-06-30,20,2,126
2020-07-01,8,2,133
2020-07-02,14,3,157
2020-07-03,10,3,161
2020-07-04,9,4,164
2020-07-05,0,4,137
2020-07-06,0,3,148
2020-07-07,21,3,151
2020-07-08,7,2,174
2020-07-09,10,3,178
2020-07-10,10,4,190
2020-07-11,10,5,201
2020-07-12,0,3,190
2020-07-13,0,4,173
2020-07-14,25,3,176
2020-07-15,0,2,207
2020-07-16,14,3,205
2020-07-17,8,4,232
2020-07-18,13,4,216
2020-07-19,0,4,193
2020-07-20,0,4,187
2020-07-21,32,3,171
2020-07-22,9,2,218
2020-07-23,15,5,208
2020-07-24,16,5,191
2020-07-25,17,4,237
2020-07-26,0,5,198
2020-07-27,0,4,169
2020-07-28,39,3,170
2020-07-29,11,3,187
2020-07-30,21,5,227
2020-07-31,21,6,206
2020-08-01,21,6,202
2020-08-02,0,5,176
2020-08-03,0,4,144
2020-08-04,52,3,138
2020-08-05,16,3,174
2020-08-06,26,6,160
2020-08-07,25,7,181
2020-08-08,35,9,176
2020-08-09,0,6,170
2020-08-10,0,8,142
2020-08-11,74,4,150
2020-08-12,21,7,141
2020-08-13,39,8,169
2020-08-14,41,9,154
2020-08-15,44,9,196
2020-08-16,51,10,145
2020-08-17,46,8,127
2020-08-18,8,5,106
2020-08-19,34,7,133
2020-08-20,58,11,143
2020-08-21,73,14,133
2020-08-22,70,16,151
2020-08-23,55,18,134
2020-08-24,75,20,104
2020-08-25,30,16,116
2020-08-26,51,14,115
2020-08-27,83,23,129
2020-08-28,94,23,139
2020-08-29,113,24,150
2020-08-30,84,24,133
2020-08-31,83,23,107
2020-09-01,47,16,102
2020-09-02,76,16,135
2020-09-03,108,22,117
2020-09-04,110,23,110
2020-09-05,137,29,154
2020-09-06,131,28,133
2020-09-07,108,21,92
2020-09-08,64,19,73
2020-09-09,100,23,82
2020-09-10,131,24,96
2020-09-11,151,26,113
2020-09-12,144,27,145
2020-09-13,162,25,123
2020-09-14,110,24,102
2020-09-15,94,17,105
2020-09-16,120,20,156
2020-09-17,150,24,74
2020-09-18,162,26,132
2020-09-19,202,32,152
2020-09-20,207,27,122
2020-09-21,177,26,120
2020-09-22,66,22,161
2020-09-23,153,23,116
2020-09-24,200,27,115
2020-09-25,247,30,134
2020-09-26,242,32,166
2020-09-27,221,31,137
2020-09-28,170,29,110
2020-09-29,62,25,100
2020-09-30,123,27,130
2020-10-01,197,31,127
2020-10-02,214,42,135
2020-10-03,186,41,165
2020-10-04,260,47,153
2020-10-05,192,43,105
2020-10-06,78,37,123
2020-10-07,161,44,130
2020-10-08,287,61,146
2020-10-09,278,74,172
2020-10-10,312,89,175
2020-10-11,412,95,164
2020-10-12,247,90,132
2020-10-13,130,76,126
2020-10-14,199,98,159
2020-10-15,346,121,179
2020-10-16,469,146,193
2020-10-17,384,166,212
2020-10-18,497,181,171
2020-10-19,457,194,145
2020-10-20,203,154,182
2020-10-21,314,180,177
2020-10-22,409,251,190
2020-10-23,638,266,218
2020-10-24,644,317,258
2020-10-25,696,325,251
2020-10-26,797,352,180
2020-10-27,410,281,207
2020-10-28,512,364,227
2020-10-29,558,413,237
2020-10-30,730,444,266
2020-10-31,754,514,306
2020-11-01,500,525,238
2020-11-02,755,495,245
2020-11-03,805,368,253
2020-11-04,557,467,280
2020-11-05,621,505,310
2020-11-06,889,571,370
2020-11-07,927,625,395
2020-11-08,1331,658,367
2020-11-09,592,539,334
2020-11-10,309,418,420
2020-11-11,340,580,445
2020-11-12,550,545,433
2020-11-13,508,628,464
