date,FR_new_cases,IT_new_cases,US_new_cases
2020-03-01,43,240,3
2020-03-02,30,561,20
2020-03-03,48,347,14
2020-03-04,34,466,22
2020-03-05,73,587,34
2020-03-06,138,769,74
2020-03-07,190,778,105
2020-03-08,103,1247,95
2020-03-09,410,1492,121
2020-03-10,286,1797,200
2020-03-11,372,977,271
2020-03-12,497,2313,287
2020-03-13,595,2651,351
2020-03-14,785,2547,511
2020-03-15,838,3497,777
2020-03-16,924,2823,823
2020-03-17,1210,4000,887
2020-03-18,1097,3526,1766
2020-03-19,1404,4207,2988
2020-03-20,1861,5322,4835
2020-03-21,1617,5986,5374
2020-03-22,1847,6557,7123
2020-03-23,1559,5560,8459
2020-03-24,3838,4789,11236
2020-03-25,2446,5249,8789
2020-03-26,2931,5210,13963
2020-03-27,3922,6153,16797
2020-03-28,3809,5959,18695
2020-03-29,4611,5974,19979
2020-03-30,2599,5217,18360
2020-03-31,4376,4050,21595
2020-04-01,7578,4053,24998
2020-04-02,4861,4782,27103
2020-04-03,2116,4668,28819
2020-04-04,5233,4585,32425
2020-04-05,4267,4805,34272
2020-04-06,1873,4316,25398
2020-04-07,3912,3599,30561
2020-04-08,3777,3039,30613
2020-04-09,3881,3836,33323
2020-04-10,4286,4204,33901
2020-04-11,4342,3951,35527
2020-04-12,3114,4694,28391
2020-04-13,1613,4092,27620
2020-04-14,2673,3153,25023
2020-04-15,5497,2972,26922
2020-04-16,2633,2667,30148
2020-04-17,2641,3786,31667
2020-04-18,405,3493,30833
2020-04-19,2569,3491,32922
2020-04-20,785,3047,24601
2020-04-21,2051,2256,28065
2020-04-22,2667,2729,37289
2020-04-23,1827,3370,17588
2020-04-24,1653,2646,26543
2020-04-25,1773,3021,21352
2020-04-26,1537,2357,48529
2020-04-27,461,2324,26857
2020-04-28,1195,1739,22541
2020-04-29,1065,2091,24132
2020-04-30,1607,2086,27326
2020-05-01,1139,1872,29917
2020-05-02,604,1965,33955
2020-05-03,794,1900,29288
2020-05-04,308,1389,24972
2020-05-05,576,1221,22593
2020-05-06,1104,1075,23841
2020-05-07,4183,1444,24128
2020-05-08,629,1401,28369
2020-05-09,642,1327,26957
2020-05-10,433,1083,25612
2020-05-11,209,802,20258
2020-05-12,456,744,18117
2020-05-13,708,1402,22048
2020-05-14,507,888,20782
2020-05-15,622,992,27143
2020-05-16,563,789,25508
2020-05-17,372,875,24487
2020-05-18,120,675,18873
2020-05-19,492,451,21841
2020-05-20,524,813,19970
2020-05-21,418,665,23285
2020-05-22,318,642,25434
2020-05-23,403,652,24147
2020-05-24,240,669,21236
2020-05-25,115,531,20568
2020-05-26,358,300,19064
2020-05-27,276,397,18910
2020-05-28,191,584,18721
2020-05-29,3325,593,21817
2020-05-30,597,516,25337
2020-05-31,1828,416,23297
2020-06-01,257,355,19807
2020-06-02,338,178,21086
2020-06-03,766,318,20544
2020-06-04,352,321,19699
2020-06-05,767,177,21140
2020-06-06,611,518,25178
2020-06-07,579,270,22223
2020-06-08,343,197,22302
2020-06-09,211,280,18822
2020-06-10,403,283,18665
2020-06-11,545,202,20614
2020-06-12,425,379,22883
2020-06-13,726,163,25639
2020-06-14,526,346,25540
2020-06-15,407,338,19543
2020-06-16,152,301,19957
2020-06-17,344,210,23705
2020-06-18,458,328,25559
2020-06-19,467,331,27762
2020-06-20,811,148,29909
2020-06-21,641,264,34158
2020-06-22,284,224,25793
2020-06-23,373,221,31390
2020-06-24,517,113,34720
2020-06-25,81,577,34339
2020-06-26,0,296,40949
2020-06-27,1588,255,45527
2020-06-28,0,175,42486
2020-06-29,0,174,38673
2020-06-30,1324,126,41556
2020-07-01,541,142,43880
2020-07-02,918,182,52048
2020-07-03,659,201,53399
2020-07-04,582,223,54442
2020-07-05,0,235,45221
2020-07-06,0,192,49093
2020-07-07,1375,208,49990
2020-07-08,475,137,57473
2020-07-09,663,193,58906
2020-07-10,621,214,63004
2020-07-11,658,276,66625
2020-07-12,0,188,63051
2020-07-13,0,234,57258
2020-07-14,1625,169,58114
2020-07-15,0,114,68518
2020-07-16,927,162,67717
2020-07-17,534,230,76930
2020-07-18,836,231,71494
2020-07-19,0,249,63749
2020-07-20,0,218,61796
2020-07-21,2080,190,56750
2020-07-22,584,128,72048
2020-07-23,998,280,68848
2020-07-24,1062,306,63196
2020-07-25,1130,252,78427
2020-07-26,0,274,65498
2020-07-27,0,254,55993
2020-07-28,2551,168,56243
2020-07-29,725,202,61734
2020-07-30,1392,288,74985
2020-07-31,1377,382,68032
2020-08-01,1346,379,67023
2020-08-02,0,295,58407
2020-08-03,0,238,47511
2020-08-04,3376,159,45607
2020-08-05,1039,190,57525
2020-08-06,1695,384,52804
2020-08-07,1604,401,59755
2020-08-08,2288,552,58150
2020-08-09,0,347,56221
2020-08-10,0,463,46847
2020-08-11,4854,259,49530
2020-08-12,1397,412,46813
2020-08-13,2524,476,55941
2020-08-14,2669,522,51094
2020-08-15,2846,574,64838
2020-08-16,3310,629,48085
2020-08-17,3015,477,42104
2020-08-18,493,320,35056
2020-08-19,2238,401,44091
2020-08-20,3776,642,47426
2020-08-21,4771,840,44005
2020-08-22,4586,947,49880
2020-08-23,3602,1071,44378
2020-08-24,4897,1209,34506
2020-08-25,1955,953,38298
2020-08-26,3304,876,38119
2020-08-27,5429,1366,42848
2020-08-28,6111,1409,45909
2020-08-29,7379,1460,49654
2020-08-30,5453,1444,44143
2020-08-31,5413,1365,35581
2020-09-01,3082,996,33850
2020-09-02,4982,975,44639
2020-09-03,7017,1326,38754
2020-09-04,7157,1397,36249
2020-09-05,8975,1732,51071
2020-09-06,8550,1694,44140
2020-09-07,7071,1296,30555
2020-09-08,4203,1150,24250
2020-09-09,6544,1369,27122
2020-09-10,8577,1430,31927
2020-09-11,9843,1597,37507
