iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FRA,Europe,France,2020-03-01,100,43,12.571,2,0,0.143,1.532,0.659,0.193,0.031,0,0.002,2.5,9,0.138,116,1.777,,,,,,,,,,,,,,31.94,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-02,130,30,16.857,2,0,0.143,1.992,0.46,0.258,0.031,0,0.002,2.51,,,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-03,178,48,23.714,3,1,0.286,2.727,0.735,0.363,0.046,0.015,0.004,2.5,,,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-04,212,34,28.286,4,1,0.429,3.248,0.521,0.433,0.061,0.015,0.007,2.51,15,0.23,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-05,285,73,38.286,4,0,0.286,4.366,1.118,0.587,0.061,0,0.004,2.51,23,0.352,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-06,423,138,55,7,3,0.714,6.48,2.114,0.843,0.107,0.046,0.011,2.51,39,0.597,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-07,613,190,79.429,9,2,1,9.391,2.911,1.217,0.138,0.031,0.015,2.49,45,0.689,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-08,716,103,88,10,1,1.143,10.969,1.578,1.348,0.153,0.015,0.018,2.46,,,,,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-09,1126,410,142.286,19,9,2.429,17.25,6.281,2.18,0.291,0.138,0.037,2.44,66,1.011,,,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-10,1412,286,176.286,30,11,3.857,21.632,4.382,2.701,0.46,0.169,0.059,2.42,86,1.318,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-11,1784,372,224.571,33,3,4.143,27.331,5.699,3.44,0.506,0.046,0.063,2.4,105,1.609,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,2020-03-12,2281,497,285.143,48,15,6.286,34.945,7.614,4.368,0.735,0.23,0.096,2.37,129,1.976,0,0,,,,,,,,,,,,,,41.2,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
