iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ITA,Europe,Italy,2020-03-01,1128,240,149.857,29,8,3.857,18.656,3.969,2.479,0.48,0.132,0.064,3.06,140,2.316,779,12.884,,,,,21127,2466,0.349,0.041,,,,,tests performed,69.91,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-02,1689,561,222.429,35,6,4.714,27.935,9.279,3.679,0.579,0.099,0.078,2.83,166,2.746,908,15.018,,,,,23345,2218,0.386,0.037,2717,0.045,12.215,0.082,tests performed,69.91,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-03,2036,347,258.143,52,17,6.571,33.674,5.739,4.27,0.86,0.281,0.109,2.71,229,3.788,1263,20.889,,,,,25856,2511,0.428,0.042,2462,0.041,9.537,0.105,tests performed,69.91,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-04,2502,466,311.429,80,28,9.857,41.381,7.707,5.151,1.323,0.463,0.163,2.64,295,4.879,1641,27.141,,,,,29837,3981,0.493,0.066,2893,0.048,9.289,0.108,tests performed,74.54,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-05,3089,587,384.143,107,27,13.571,51.09,9.709,6.353,1.77,0.447,0.224,2.59,351,5.805,2141,35.411,,,,,32362,2525,0.535,0.042,2907,0.048,7.567,0.132,tests performed,74.54,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-06,3858,769,458.286,148,41,18.714,63.809,12.719,7.58,2.448,0.678,0.31,2.55,462,7.641,2856,47.236,,,,,36359,3997,0.601,0.066,2952,0.049,6.441,0.155,tests performed,74.54,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-07,4636,778,535.429,197,49,25.143,76.676,12.868,8.856,3.258,0.81,0.416,2.54,567,9.378,3218,53.224,,,,,42062,5703,0.696,0.094,3343,0.055,6.244,0.16,tests performed,74.54,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-08,5883,1247,679.286,233,36,29.143,97.301,20.625,11.235,3.854,0.595,0.482,2.48,650,10.751,4207,69.581,,,,,49937,7875,0.826,0.13,4116,0.068,6.059,0.165,tests performed,74.54,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-09,7375,1492,812.286,366,133,47.286,121.978,24.677,13.435,6.053,2.2,0.782,2.39,733,12.123,5049,83.507,,,,,53826,3889,0.89,0.064,4354,0.072,5.36,0.187,tests performed,74.54,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-10,9172,1797,1019.429,464,98,58.857,151.699,29.721,16.861,7.674,1.621,0.973,2.26,877,14.505,5915,97.83,,,,,60761,6935,1.005,0.115,4986,0.082,4.891,0.204,tests performed,82.41,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-11,10149,977,1092.429,631,167,78.714,167.858,16.159,18.068,10.436,2.762,1.302,2.27,1028,17.002,6866,113.559,,,,,73154,12393,1.21,0.205,6188,0.102,5.664,0.177,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-12,12462,2313,1339,827,196,102.857,206.114,38.256,22.146,13.678,3.242,1.701,2.23,1153,19.07,7803,129.057,,,,,86011,12857,1.423,0.213,7664,0.127,5.724,0.175,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-13,15113,2651,1607.857,1016,189,124,249.959,43.846,26.593,16.804,3.126,2.051,2.15,1328,21.964,8754,144.786,,,,,97488,11477,1.612,0.19,8733,0.144,5.431,0.184,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-14,17660,2547,1860.571,1268,252,153,292.085,42.126,30.773,20.972,4.168,2.531,2.09,1518,25.107,9890,163.574,,,,,109170,11682,1.806,0.193,9587,0.159,5.153,0.194,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-15,21157,3497,2182,1441,173,172.571,349.923,57.838,36.089,23.833,2.861,2.854,2,1672,27.654,11335,187.474,,,,,124899,15729,2.066,0.26,10709,0.177,4.908,0.204,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-16,23980,2823,2372.143,1811,370,206.429,396.614,46.691,39.234,29.953,6.12,3.414,1.9,1851,30.614,12876,212.961,,,,,137962,13063,2.282,0.216,12019,0.199,5.067,0.197,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-17,27980,4000,2686.857,2158,347,242,462.771,66.157,44.439,35.692,5.739,4.003,1.84,2060,34.071,14954,247.33,,,,,148657,10695,2.459,0.177,12557,0.208,4.673,0.214,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-18,31506,3526,3051,2505,347,267.714,521.089,58.318,50.462,41.431,5.739,4.428,1.81,2257,37.329,16620,274.884,,,,,165541,16884,2.738,0.279,13198,0.218,4.326,0.231,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-19,35713,4207,3321.571,2978,473,307.286,590.67,69.581,54.937,49.254,7.823,5.082,1.78,2498,41.315,18255,301.926,,,,,182777,17236,3.023,0.285,13824,0.229,4.162,0.24,tests performed,85.19,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-20,41035,5322,3703.143,3407,429,341.571,678.693,88.022,61.248,56.35,7.095,5.649,1.73,2655,43.912,18675,308.873,,,,,206886,24109,3.422,0.399,15628,0.258,4.22,0.237,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-21,47021,5986,4194.429,4032,625,394.857,777.697,99.005,69.373,66.687,10.337,6.531,1.65,2857,47.253,20565,340.132,,,,,233222,26336,3.857,0.436,17722,0.293,4.225,0.237,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-22,53578,6557,4631.571,4827,795,483.714,886.146,108.449,76.603,79.835,13.149,8,1.53,3009,49.767,22855,378.007,,,,,258402,25180,4.274,0.416,19072,0.315,4.118,0.243,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-23,59138,5560,5022.571,5476,649,523.571,978.105,91.959,83.07,90.57,10.734,8.66,1.43,3204,52.992,23896,395.225,,,,,275468,17066,4.556,0.282,19644,0.325,3.911,0.256,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-24,63927,4789,5135.286,6077,601,559.857,1057.312,79.207,84.934,100.51,9.94,9.26,1.36,3396,56.168,25333,418.992,,,,,296964,21496,4.912,0.356,21187,0.35,4.126,0.242,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-25,69176,5249,5381.429,6820,743,616.429,1144.127,86.815,89.005,112.798,12.289,10.195,1.31,3489,57.706,26601,439.964,,,,,324445,27481,5.366,0.455,22701,0.375,4.218,0.237,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-26,74386,5210,5524.714,7505,685,646.714,1230.297,86.17,91.375,124.128,11.329,10.696,1.27,3612,59.74,28365,469.139,,,,,361060,36615,5.972,0.606,25469,0.421,4.61,0.217,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-27,80539,6153,5643.429,8165,660,679.714,1332.064,101.767,93.339,135.044,10.916,11.242,1.21,3732,61.725,29761,492.228,,,,,394079,33019,6.518,0.546,26742,0.442,4.739,0.211,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-28,86498,5959,5639.571,9136,971,729.143,1430.622,98.558,93.275,151.104,16.06,12.06,1.16,3856,63.776,30532,504.98,,,,,429526,35447,7.104,0.586,28043,0.464,4.973,0.201,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-29,92472,5974,5556.286,10023,887,742.286,1529.428,98.806,91.897,165.774,14.67,12.277,1.09,3906,64.603,31292,517.55,,,,,454030,24504,7.509,0.405,27947,0.462,5.03,0.199,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-30,97689,5217,5507.286,10781,758,757.857,1615.714,86.286,91.087,178.311,12.537,12.534,1.03,3981,65.843,31776,525.555,,,,,477359,23329,7.895,0.386,28842,0.477,5.237,0.191,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-03-31,101739,4050,5401.714,11591,810,787.714,1682.698,66.984,89.341,191.708,13.397,13.028,1,4023,66.538,32215,532.816,,,,,506968,29609,8.385,0.49,30001,0.496,5.554,0.18,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-01,105792,4053,5230.857,12430,839,801.429,1749.732,67.034,86.515,205.584,13.877,13.255,0.98,4035,66.736,32438,536.504,,,,,541423,34455,8.955,0.57,30997,0.513,5.926,0.169,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-02,110574,4782,5169.714,13157,727,807.429,1828.823,79.091,85.504,217.608,12.024,13.354,0.97,4053,67.034,32593,539.067,,,,,581232,39809,9.613,0.658,31453,0.52,6.084,0.164,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-03,115242,4668,4957.571,13917,760,821.714,1906.029,77.206,81.995,230.178,12.57,13.591,0.95,4068,67.282,32809,542.64,,,,,619849,38617,10.252,0.639,32253,0.533,6.506,0.154,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-04,119827,4585,4761.286,14681,764,792.143,1981.862,75.833,78.749,242.814,12.636,13.102,0.94,3994,66.058,33004,545.865,,,,,657224,37375,10.87,0.618,32528,0.538,6.832,0.146,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-05,124632,4805,4594.286,15362,681,762.714,2061.334,79.472,75.987,254.078,11.263,12.615,0.91,3977,65.777,32926,544.575,,,,,691461,34237,11.436,0.566,33919,0.561,7.383,0.135,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-06,128948,4316,4465.571,15889,527,729.714,2132.718,71.384,73.858,262.794,8.716,12.069,0.89,3898,64.47,32874,543.715,,,,,721732,30271,11.937,0.501,34910,0.577,7.818,0.128,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-07,132547,3599,4401.143,16525,636,704.857,2192.243,59.525,72.792,273.313,10.519,11.658,0.88,3792,62.717,32510,537.695,,,,,755445,33713,12.495,0.558,35497,0.587,8.065,0.124,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-08,135586,3039,4256.286,17129,604,671.286,2242.506,50.263,70.396,283.303,9.99,11.103,0.89,3693,61.08,32178,532.204,,,,,807125,51680,13.349,0.855,37957,0.628,8.918,0.112,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-09,139422,3836,4121.143,17669,540,644.571,2305.951,63.445,68.161,292.234,8.931,10.661,0.91,3605,59.624,32004,529.326,,,,,853369,46244,14.114,0.765,38877,0.643,9.434,0.106,tests performed,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
ITA,Europe,Italy,2020-04-10,143626,4204,4054.857,18281,612,623.429,2375.482,69.531,67.065,302.356,10.122,10.311,0.91,3497,57.838,31739,524.943,,,,,906864,53495,14.999,0.885,41002,0.678,10.112,0.099,tests performed,87.96,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
